"customer_id","zip","lat","long"
"5bcb07e4d6212798b9dbbe3a8253966a",80138,39.5232,-104.706
"ff93237585804cc0c8850d55376f0071",80107,39.3836,-104.592
"547f474fe8f9842c19411272cb2a0bc1",80465,39.6125,-105.175
"0483a696dc144ed61641db968414eb03",80117,39.324,-104.452
"d5f451f103f091c14ca17c31c9cbc77b",80101,39.4203,-103.985
"25df1eda174b96ed8d9c45dd2ab06c0b",80107,39.3836,-104.592
"4bd6633cefb22f4e62fb624234c1d5c5",80107,39.3836,-104.592
"c77ea25aab54f1c17be6a889b6a707ff",80107,39.3836,-104.592
"256cb8d565893e58ed6a0adb007693db",80107,39.3836,-104.592
"4d3802218f3a9b4db9c2d0e068d6fd7a",80107,39.3836,-104.592
"686178013b1b0aa8733904186db8e472",80117,39.324,-104.452
"ccd7a787e595a52adbac6639de771e3a",80107,39.3836,-104.592
"de099d20d8381757bdd66a5261a5a9e5",80107,39.3836,-104.592
"04a1cfb3182fb7dc485912eefdbdf544",80016,39.5951,-104.748
"9caf45992ac3f98dfd7fd25dc3d136e6",80116,39.3728,-104.726
"5ac59972c5636a430b63cc4a097e7c2e",81230,38.5511,-106.931
"3ba4a52729f61c47f6715f5492638cc8",81063,38.2095,-103.8
"0b200e915fa7f14e990b49b4f2d2690e",67657,39.2522,-99.5625
"6610768271472d587b47ada6941cd157",80134,39.4895,-104.845
"b0a1f72f0bf8a890ec94a27f18461dc9",80104,39.3926,-104.86
"8d4a145c7ab777a15a844063f80cee73",80138,39.5102,-104.722
"651b5ab2c49dbba1b70b4c219e6ee9a3",80237,39.6431,-104.899
"333c5aeccb5ffcb0d3b30f8daeb2e2b1",80116,39.3728,-104.726
"07132978b8540161ba3ddab061f9eea5",80107,39.3836,-104.592
"64a8a2dc1a11036e77d5821d77f1f5f6",80203,39.7313,-104.981
"d87aa42cd08ba8612664a73dbdb64221",80138,39.5232,-104.706
"6847affd51bf0ac1307edc4c5cb98635",80107,39.3836,-104.592
"2703fc53ba45c614915ac027f735f150",80104,39.3926,-104.86
"98f20e226a0528197cee2f67801c556b",80104,39.3926,-104.86
"d67a0c47351a17169b175c2d148f2e4b",80108,39.4455,-104.853
"7c10d61c9262e22e5039d31335ba7f8a",80118,39.2011,-104.855
"9df25deb88ee1f60873e88d2fd7322cf",80104,39.3851,-104.86
"f1ac0ae2c8a12101a66dc183f917239d",80109,39.3643,-104.901
"3f086ec24e2fce90e1e3e42a43fd1699",80104,39.3851,-104.86
"64fcc84b31a4ca2d7010d711848124a0",80108,39.4455,-104.853
"94abd57bc177dcfa13520a87968c5484",80109,39.3643,-104.901
"85d8a582330738c40a56c1c673821c8f",80109,39.3643,-104.901
"8a773e3535515e8d1ff9b6a2bf3f396c",80109,39.3643,-104.901
