"id","address","city","state","zip","retailer_id","lat","long"
54320,"4701 PEORIA","DENVER","CO",80239,28,39.7824,-104.849
68521,"4701 Peoria St #123","Denver","CO",80239,35,39.7827,-104.848
73215,"4775 N Yampa Street","Denver","CO",80249,35,39.7832,-104.774
138429,"3051 East 45th Avenue","Denver","CO",80216,75,39.7835,-104.967
139875,"520 East 58th Avenue","Denver","CO",80216,75,39.7835,-104.967
55351,"4709 N TOWERS RD","DENVER","CO",80249,28,39.7836,-104.772
38133,"18550 GREEN VALLEY RANCH BLVD","Denver","CO",80249,5,39.7837,-104.771
68680,"1515 W 48th Ave.","Denver","CO",80221,35,39.7839,-105.005
200294,"5135 Chambers Rd","Denver","CO",80239,106,39.7848,-104.813
3007,"18605 Green Valley Ranch Blvd","Denver","CO",80249,1,39.7849,-104.77
33003,"4884 Chambers Rd.","Denver","CO",80239,2,39.7849,-104.81
198451,"18611 E 48TH AVE","Denver","CO",80249,106,39.7851,-104.768
246084,"8104 49TH AVE.","DENVER","CO",80238,138,39.7852,-104.898
225536,"8286 E. Northfield Boulevard","Denver","CO",80238,105,39.7852,-104.892
201403,"7120 E 49th Ave","Commerce City","CO",80022,106,39.7852,-104.905
34153,"5141 Chambers Rd","Denver","CO",80239,4,39.7858,-104.811
192357,"4990 Kipling St","Wheatridge","CO",80033,106,39.7868,-105.109
2293,"5071 Kipling St","Wheat Ridge","CO",80033,3,39.7872,-105.112
223491,"5091 KIPLING ST","ARVADA","CO",80002,109,39.7874,-105.11
136729,"4600 Peoria Street","Denver","CO",80239,75,39.7878,-104.829
1715,"7930 Northfield Blvd","Denver","CO",80238,3,39.7886,-104.9
52402,"5010 KIPLING","WHEAT RIDGE","CO",80033,28,39.7887,-105.109
91581,"5195 Wadsworth Blvd.","Arvada","CO",80002,46,39.7894,-105.083
230192,"5131 Kipling Street, Suite 610","Wheat Ridge","CO",80033,116,39.7897,-105.11
187700,"5115 North Federal","Denver","CO",80221,106,39.7897,-105.027
228050,"5095 Kipling St","Wheat Ridge","CO",80033,115,39.7901,-105.11
225533,"5095 Kipling Street","Arvada","CO",80002,105,39.7905,-105.11
186864,"7310 W 52nd Ave","Arvada","CO",80002,106,39.7908,-105.078
89608,"7370 W 52Nd Ave","Arvada","CO",80002,47,39.791,-105.079
64427,"5300 Sheridan Blvd","Arvada","CO",80002,34,39.7929,-105.053
183897,"5324 Wadsworth Blvd.","Arvada","CO",80002,104,39.7929,-105.081
229886,"5545 Wadsworth Bypass, Suite B","Arvada","CO",80002,116,39.7935,-105.08
145087,"5215 Wadsworth Blvd","Arvada","CO",80002,79,39.7935,-105.082
157139,"5285 WADSWORTH BYP","ARVADA","CO",80002,82,39.794,-105.083
51517,"5405 MARSHALL","ARVADA","CO",80002,28,39.7945,-105.069
138156,"7470 West 52nd. Avenue","Arvada","CO",80002,75,39.7945,-105.098
